"gene_id","root_control_1","root_control_2","root_control_3","root_auxin_1","root_auxin_2","root_auxin_3","root_ABA_1","root_ABA_2","root_ABA_3","root_MeJas_1","root_MeJas_2","root_MeJas_3","root_ACC_1","root_ACC_2","root_ACC_3"
"AT1G01010",1852.09649714426,1480.44368135404,2047.3058940559,2211.94955272698,1674.67189899912,2029.32842627322,1861.63838104074,1335.04950725962,1633.603299511,1602.26733262466,1344.48421667663,1633.43820734583,2366.18074371806,1596.87975019148,2008.72918429647
"AT1G01020",1484.23307262522,1607.39597543369,1440.10566786783,1639.55117867437,2302.08151820535,1607.7227975461,1469.49725864857,1606.83556538147,1561.46412246706,1357.12239189261,1914.18091865826,1370.34942044839,1419.70844623083,1735.29850232224,1730.6649260336
"AT1G01030",136.921870168378,229.913603451337,284.981332691523,134.522646267886,165.856017161769,243.59436326456,148.600846380192,263.825797005309,259.468330335436,237.300302628621,304.92337763207,443.819344853069,127.999110707796,172.179423382168,215.784881806521
"AT1G01040",2897.26677276288,2598.0237190001,3237.3879393757,3388.34558015689,2292.60403151039,3595.82756234378,3124.74557527237,2809.97217413844,3967.65473741631,2922.127693526,2410.08833352607,3271.4518718551,2998.06367756429,2315.98204784642,3395.5417783457
"AT1G01046",63.8968727452432,41.9842232389397,87.3942753587338,60.490048992942,42.648690127312,83.3842243482533,52.2854829856231,64.8192690918216,108.208765565899,95.1162370040342,53.1716921849517,61.768671706355,72.1121750466456,42.763516918447,78.0685141495136
"AT1G01050",8238.13252179743,8161.93292252245,7109.33431287787,8070.45593952102,8850.07707575198,7033.31878856559,7670.83072749602,8598.21918602216,7675.84114449719,7230.79517183246,8237.2717423667,6250.07448525044,6770.43183469194,8365.89433609828,7122.65544824776
"AT1G01060",2292.98491908644,2056.22731434522,2124.820816548,2002.49147263202,1668.98540698214,1880.36110412297,3343.51904355432,3864.13818200017,3757.05488185257,1728.76212204239,1659.17382348553,1938.84997300503,2197.61853454652,1573.2472803155,1799.96169702025
"AT1G01070",1465.97682326944,747.71902339826,930.939020125643,1561.00439863876,1159.09662279339,1822.27321749834,2683.07083742013,1864.97546158925,2505.09109960625,1055.10382491073,629.379213617795,649.714917207586,1379.1453477671,928.418459413651,796.474279188296
"AT1G01073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01080",608.845916015389,545.794902106217,620.879330157265,724.074914811037,689.013282723462,792.618582006992,492.584287075081,509.456711458527,499.156563739471,651.104962584317,552.334516778375,633.700817135568,749.065218297031,579.558189815794,689.459012601322
"AT1G01090",10750.1924331533,11067.8409452748,12574.1363485705,9610.69509746071,10672.5977671924,9592.93340563781,18334.3173890376,13509.700294927,13847.2313870943,8001.53086549401,7279.09614646236,10094.6023668256,9386.300984509,9570.02494406508,9556.81417594327
"AT1G01100",30038.8326900066,34157.164477966,23863.9568244779,28548.5946150122,47936.1799544291,25225.1332174424,21635.1824859457,32965.715643909,18735.2423993775,25437.2196301201,36921.7719712853,23343.9824478388,24947.206957387,36168.9324673391,23742.4772189313
"AT1G01110",1297.10651672844,1333.49890001775,1099.64796907902,1143.8939115531,1136.35065472549,1146.76731013777,886.101343230034,887.0005244144,841.235887141347,1178.65687503968,1444.31678159532,1444.70059935419,959.091928120386,1157.99102392321,931.559123896443
"AT1G01115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01120",2786.81646416039,3070.84604261959,3879.54587570727,4324.58708471929,3629.877404169,4499.00050921699,20981.6139486254,14835.6523609106,12776.7790825714,2813.28333984097,2378.61937284518,3467.05266559189,2806.0650115026,2640.08449185991,3136.77535504113
"AT1G01130",326.78686346853,295.888811398242,307.779839306845,357.523274644851,311.809312264125,326.041686215642,272.434885030352,362.7604708823,269.940146357943,184.348995430499,222.452997916635,191.025336573357,297.462722067413,302.720685554269,253.503377406848
"AT1G01140",269.279677997811,278.8951972301,241.664170122412,542.604767832211,374.36072445085,373.823657471383,484.328684498404,347.977128808726,349.060534083546,579.522639890559,206.175949288588,202.463979481941,421.856224022877,272.336081428004,222.802276336814
"AT1G01150",38.3381236471459,16.9936141681423,17.4788550717468,9.02836552133463,7.58198935596657,13.1166195603994,17.8871389161342,15.920522233079,17.4530267041773,7.8446381034255,3.25540972560929,12.5825071994427,19.8308481378275,12.378912792182,7.89456884658003
"AT1G01160",3214.01269908573,3218.79044831871,2852.85312779728,3286.3250497658,4092.37875488296,3207.01348251765,3260.96301778755,3585.52904292129,3146.19894720637,2955.46740546556,3686.20894596491,3106.73541397148,2738.45984739637,3418.830642059,2895.5524180623
"AT1G01170",721.121849553459,662.750952557549,802.50743285933,646.430971327559,896.570241343047,710.17125905591,809.049052514379,815.358174365545,737.681262029895,783.483230579622,937.558000975474,630.269224262993,786.92411019652,822.635022825914,773.667746964843
"AT1G01180",390.683736213773,383.855755327449,397.453965327111,231.126157346166,214.191199306056,232.351546498503,308.20916286262,188.771906477937,266.449541017107,679.541775709234,417.777581453192,467.840494961096,557.066552235337,309.47281980455,293.853395956034
"AT1G01183",2.73843740336757,2.9988730884957,6.07960176408583,5.41701931280078,0.947748669495821,6.55830978019969,1.37593376277956,9.09744127604513,3.49060534083546,5.88347857756913,5.42568287601548,1.14386429085843,8.11261969274763,6.7521342502811,5.26304589772002
"AT1G01190",560.466855222562,283.893319044259,620.119379936755,249.182888388836,105.200102314036,107.743660674709,305.457295337061,171.714204085352,394.438403514407,171.601458512433,123.705569573153,383.194537437573,477.743159684027,295.968551303988,593.847012126075
"AT1G01200",584.199979385081,643.758089663743,641.397986111055,549.827460249279,593.290667104384,619.291823530285,476.073081921726,506.045170980011,487.521212603353,715.823226937577,925.62149864824,713.771317495658,586.812824442078,659.458445110787,579.812223065489
"AT1G01210",1486.0586975608,1408.47072723015,1325.35318457071,1553.78170622169,1996.9064466277,1478.43040473645,833.815860244411,935.899271273143,786.549736801591,1279.65659062128,1652.66300403431,1138.14496940413,1246.63922611889,1545.11338760599,1265.76253840166
"AT1G01220",2201.70367230752,2295.13753706204,2149.13922360434,2069.3013774899,1624.44121951584,1914.08955442114,2151.96040498723,2036.6896656746,2215.37085631691,2300.44012382953,2148.57041890213,2352.92884629578,2384.20878747972,1949.11608691448,2189.42709345153
"AT1G01225",525.779981446573,466.824577442497,510.68654818321,774.633761730511,655.842079291108,747.647314942765,1008.55944811741,706.188879053003,537.553222488662,414.785239718623,380.882937896286,483.854595033114,451.602496229618,375.868806598981,400.868662543008
"AT1G01230",2352.31772949274,2448.08006457532,2317.08822233721,2439.46436386462,2738.04590617343,2099.59603106107,2839.927286377,2838.40167812608,2337.54204324615,2702.47782663009,2411.17347010128,2014.34501620169,2683.4743139233,2356.4948533481,2435.91307632808
"AT1G01240",757.634348265026,753.716769575251,702.953953972424,1132.15703637536,834.966577825819,939.712101362899,2846.8069551909,3041.95692667759,2239.80509370276,1002.15251771261,661.933310873888,666.872881570462,1069.9643972546,611.06814965044,712.265544824776
"AT1G01250",0,1.9992487256638,1.51990044102146,0,1.89549733899164,0,2.75186752555911,2.27436031901128,0,0,6.51081945121857,4.5754571634337,0,0,0
"AT1G01260",2076.6483642204,2071.22167978769,2367.24493689092,2039.50777126949,1725.85032715189,2130.51377716773,1776.33048774841,1494.25472959041,2076.9101777971,2956.44798522849,2938.54984564998,3516.2388300988,2162.46384921128,2043.64596641841,2127.14771699517
"AT1G01270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01280",0,0.999624362831898,0,2.70850965640039,0,0,0,0,0,0,0,0,0,4.50142283352073,0
"AT1G01290",1387.47495103957,1576.4076201859,1351.95144228859,1270.29102885178,1703.10435908399,1310.72505464277,1318.14454474281,1404.41749698947,1182.15167542961,1391.4426835951,1634.21568225586,1302.86142728775,1360.21590181735,1565.36979035684,1245.58752912707
"AT1G01300",7890.35097156975,8464.81910446052,8213.54198327996,8122.82045954476,8923.05372330316,8290.64046356959,6184.8222636941,6231.74727409092,5927.04786873862,7836.79346532208,9184.595972519,9105.15975523307,7071.50016551168,7202.27653363317,6680.55959283928
"AT1G01305",3.65124987115675,0,0,0,1.89549733899164,1.87380279434277,0,2.27436031901128,0,3.92231905171275,4.34054630081238,0,3.60560875233228,4.50142283352073,0
"AT1G01310",17.3434368879946,15.9939898053104,9.87935286663947,17.1538944905358,13.2684813729415,19.6749293405991,37.150211595048,12.5089817545621,9.30828090889457,22.5533345473483,29.2986875304836,11.4386429085843,14.4224350093291,7.87748995866128,7.01739453029336
"AT1G01320",2274.72866973066,2062.22506052221,2074.66410199429,2118.0545513051,1690.78362638055,2065.8675807629,1856.13464598962,1796.74465201891,2229.33327768025,1969.98474372273,1816.51862688998,2062.38731641774,1862.29692057962,1792.69164344963,2423.63263590007
"AT1G01340",2202.61648477531,1411.46960031864,2025.26733766109,2483.70335491916,1507.86813316785,2182.98025540933,979.664839099044,623.174727409092,948.281117593634,2043.52822594234,1002.66619548766,1888.51994420726,2504.99668068285,1296.40977605397,2193.81296503296
"AT1G01350",2415.30178977019,2626.0132011594,2589.15040128005,2684.13306949278,3118.09312264125,2784.47095239336,2405.13221733866,2506.34507155043,2506.25463471986,2418.10969538091,2860.42001223536,2583.98943304918,2711.41778175387,2806.63713670018,2586.78705872939
"AT1G01355",0,1.9992487256638,0,0,1.89549733899164,0,0,2.27436031901128,0,0,0,0,5.40841312849842,0,0
"AT1G01360",1099.93902368597,1155.56576343367,1095.84821797647,1170.07617156497,1293.6769338618,1238.58364706057,1294.75367077556,1418.06365890354,1193.78702656573,1034.51164988924,1214.26782765226,987.154883010821,1208.7803342194,1073.5893457947,1184.185326987
"AT1G01370",838.874657898264,914.656291991187,750.070867644089,917.281936967598,894.674744004055,747.647314942765,575.140312841854,633.409348844642,485.19414237613,611.881772067189,724.871232235668,673.736067315613,746.361011732782,730.355854738739,636.828553624122
"AT1G01380",138.747495103957,207.921867469035,162.629347189296,82.1581262441451,130.789316390423,91.8163369227957,107.322833496805,75.0538905273723,93.0828090889457,122.572470366023,150.83398395323,99.516193304683,137.91453477671,138.418752130763,108.769615219547
"AT1G01390",16.4306244202054,8.99661926548709,7.59950220510729,6.31985586493424,1.89549733899164,9.36901397171385,22.0149402044729,5.68590079752821,0,4.90289881464094,10.851365752031,6.86318574515055,9.0140218808307,2.25071141676037,8.7717431628667
"AT1G01400",0,0,0,0,0,1.87380279434277,0,0,0,0,0,0,0,0,0
"AT1G01410",0,0,0,0,0,0,0,0,0,0,0,2.28772858171685,0,0,0
"AT1G01420",184.388118493416,97.963187557526,188.467654686661,85.769472452679,42.648690127312,82.4473229510819,92.1875621062302,65.9564492513272,115.18997624757,218.669287132986,130.216389024371,205.895572354517,204.618296694857,115.911637963159,161.400074196747
"AT1G01430",1397.51588818525,1630.38733577883,1692.40914107739,1104.16910325923,1136.35065472549,1159.88392969817,1641.48897899601,1933.20627115959,1709.23308189577,2404.38157869992,2546.81554200166,2467.31527538162,1345.79346680802,1568.74585748198,1299.09516242056
"AT1G01440",1245.07620606445,1213.54397647792,1339.0322885399,1240.49742263138,937.323434131367,1188.92787301049,1477.75286122524,1180.39300556686,1207.74944792907,1496.36471822841,1191.479959573,1472.15334233479,1645.0589932516,1094.97110425392,1413.12782353783
"AT1G01448",955.71465377528,956.640515230127,965.896730269136,884.779821090793,1064.32175584381,1148.64111293212,1067.72459991694,1176.98146508834,1115.83017395374,1069.81252135465,1152.41504286569,1092.3903977698,870.754513688245,1081.46683575336,1212.25490510818
"AT1G01450",530.344043785519,580.781754805333,549.444009429257,494.754430569138,506.097789510769,689.559428318139,681.08721257588,750.538905273724,634.126636918443,599.134235149123,667.358993749904,613.111259900116,528.221682216679,629.073840984523,726.300333885363
"AT1G01453",73.9378098909243,111.957928637173,128.431587266313,190.498512500161,102.356856305549,144.282815164393,94.9394296317894,56.8590079752821,101.227554884228,108.844353685029,74.8744236890136,104.091650468117,236.167373277764,169.928711965408,216.662056122807
"AT1G01460",0,1.9992487256638,0,3.61134620853385,1.89549733899164,1.87380279434277,2.75186752555911,0,2.32707022722364,1.96115952585638,0,4.5754571634337,0,0,0
"AT1G01470",7967.02721886404,6655.49900773478,6078.08186364481,9708.20144509112,9679.35716156083,6928.38583208239,33981.4361393667,37000.4308498351,22211.8853188497,7173.92154558262,6670.33452777343,4739.02975702646,7932.33925513101,7544.38466898075,5691.10696406791
"AT1G01471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01480",317.658738790638,327.876791008863,283.461432250502,314.187120142445,387.629205823791,346.653516953412,394.892989917733,390.052794710435,337.425182947428,317.707843188733,265.858460924758,276.815158387739,312.786559264825,310.598175512931,225.433799285674
"AT1G01490",6015.43416273075,5584.90131514182,5783.22117808665,4206.3154963898,4915.02460000533,5002.11655949802,6326.5434412604,6096.42283510975,5995.69644044172,6851.31080357925,5996.4647145723,5381.88148848889,7703.38309935791,6636.22261231794,6874.41511673863
"AT1G01500",574.1590422394,570.785511177014,583.64176935224,624.762894076356,602.768153799342,613.670415147257,804.92125122604,695.954257617453,602.711188850923,728.570763855643,534.972331575126,523.889845213159,778.811490503772,686.466982111912,624.548113196109
