gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT2G36270,655.840789243124,2.38308686486732,0.123446723872316,19.3045776357112,4.9155550289765e-83,1.66517937717314e-80
AT1G10400,1082.53751881983,-3.56386245822365,0.18526997500693,-19.2360497597646,1.8476424721917e-82,6.17086562578616e-80
AT1G16850,3314.62995892755,3.92163503118762,0.204143430974604,19.2101945796898,3.04124081135326e-82,1.00162421332805e-79
AT1G02660,1149.56548900331,3.80873382262986,0.199605025466559,19.0813523543672,3.60801549555013e-81,1.17201193761617e-78
AT5G04250,1209.28984744471,2.21450807855456,0.116756937814085,18.9668221864535,3.20718044142555e-80,1.02772797037195e-77
AT3G51750,1413.01007930553,5.11278812253359,0.269592225285471,18.9648945444167,3.32693895964905e-80,1.05188938066877e-77
AT3G50980,213.215314939661,5.73885989155788,0.303101217936722,18.9338067679952,6.00611060957344e-80,1.87398553795809e-77
AT3G44880,1047.7030792137,2.44555501778884,0.129534409348627,18.8795782532724,1.67921519465856e-79,5.17132855986213e-77
AT1G64110,2231.68892578745,3.60214036377001,0.191696110615976,18.7908891432136,8.96644398731185e-79,2.7259139265529e-76
AT1G31750,185.007560301768,4.2805045532461,0.228233226616112,18.7549578854524,1.76357342812491e-78,5.29362236723114e-76
AT3G48520,2388.78464532219,4.13445051341595,0.220713099810014,18.7322388973505,2.70305600255643e-78,8.01219587357757e-76
AT3G48510,2868.13072201377,6.61553392629561,0.353216766522717,18.7293881641661,2.85174439882963e-78,8.34856974437618e-76
AT3G63060,233.280029890001,3.68102159181859,0.19696447934112,18.6887585220048,6.1118728747497e-78,1.76744928632853e-75
AT3G62740,1247.07002086853,2.45949665294632,0.131672381235112,18.6789107167029,7.35038076644947e-78,2.09999492909417e-75
AT1G20450,23763.3129980144,2.86849015527442,0.15365454187843,18.6684371331108,8.94316992656871e-78,2.52463557700862e-75
AT2G22240,2104.73253988901,2.20404138263768,0.118145011582819,18.6553909734281,1.14164070568321e-77,3.18490894751365e-75
AT1G53470,5131.08312843486,2.23862028634227,0.120319053373399,18.605700623283,2.88890281566378e-77,7.9656456357948e-75
AT5G58780,642.667176264089,2.56351490836246,0.138331767186379,18.5316428793145,1.14729975559187e-76,3.12711713843104e-74
AT4G33550,5861.82731734613,4.4253178861414,0.243824589748553,18.149596358206,1.2934784769114e-73,3.48548353670456e-71
AT3G55090,3309.92952361932,5.39808830529137,0.297954648082289,18.1171474921933,2.33385445421558e-73,6.21827985087798e-71
AT5G20270,2878.1989700623,3.96066036564374,0.218698154838903,18.110168183912,2.64937819178864e-73,6.98052278465377e-71
AT2G23120,23598.9025385367,2.44497866551026,0.135829062345608,18.000408920509,1.93385881576648e-72,5.039296054755e-70
AT2G47600,2943.86727529863,1.23276996100624,0.0685760044065443,17.9766956630765,2.96653552413207e-72,7.64624531345041e-70
AT3G23920,6245.48095524517,2.37479898994568,0.132685616168939,17.8979384390997,1.22368500898273e-71,3.12013361483952e-69
AT1G20630,2206.35894087509,1.69809233812032,0.0950903096216147,17.8576801871547,2.51892982397591e-71,6.35440243786603e-69
AT1G06570,2512.36640479245,2.35078641817804,0.132073730197,17.7990461439351,7.1882776031228e-71,1.79426975581948e-68
AT5G61820,10719.5490185657,2.43972124158703,0.137220422769308,17.7795782315044,1.01742489066726e-70,2.51314546170756e-68
AT1G08920,8855.48364286436,2.68886950980618,0.151431138222346,17.7563844620788,1.53830091897275e-70,3.76059068985575e-68
AT3G10420,1392.16340048621,1.56216514780344,0.0880418682124702,17.7434347943809,1.93722966035224e-70,4.68750274856456e-68
AT4G16760,17002.0399022942,1.45038194702224,0.081759698290033,17.7395706852682,2.07514386311978e-70,4.97049357839994e-68
AT1G54870,318.769159154004,6.28221494946012,0.354351718277744,17.7287554297566,2.51541053287414e-70,5.96479299660445e-68
AT2G19810,909.027835925286,2.62842309314163,0.1483703165185,17.7152893841397,3.19579751728037e-70,7.50316302250192e-68
AT1G04220,8332.77050250956,3.74712580538677,0.211762827726193,17.6949176851367,4.58900440806135e-70,1.06685354439567e-67
AT3G19290,3186.97685261362,1.0344999392241,0.0585513884784112,17.6682392357874,7.36603461707306e-70,1.69583280460829e-67
AT5G53970,1889.57178335493,1.63708940202121,0.0926746248735145,17.6649153342197,7.81299553136482e-70,1.78143810610821e-67
AT4G13250,1418.31837228954,2.77638054300844,0.157284568297616,17.6519576781044,9.82892481417619e-70,2.219745658272e-67
AT4G12430,433.589814129821,3.11606811555314,0.176685772316324,17.6362141371202,1.29876198139873e-69,2.87827503410355e-67
AT4G12432,433.589814129821,3.11606811555314,0.176685772316324,17.6362141371202,1.29876198139873e-69,2.87827503410355e-67
AT5G62490,282.969763751638,6.1197311010889,0.347367383016266,17.617460361275,1.80947805397377e-69,3.97297713832223e-67
AT3G25620,271.136875871683,4.29074698021128,0.245246279636343,17.4956659345605,1.54594886249324e-68,3.36321884186258e-66
AT1G23190,14379.4194961385,1.44779841126653,0.0827642153122948,17.4930482431754,1.61863203319179e-68,3.48932921846153e-66
AT3G57540,1152.94375984567,3.53472451575096,0.202352815737935,17.4681261679538,2.50590612551243e-68,5.3533830589438e-66
AT3G26744,1124.69358572488,2.15511653399399,0.123558940711317,17.4420120598897,3.95887688388424e-68,8.38186138817384e-66
AT1G50260,1312.34044454461,1.27570191555829,0.0732484383555815,17.4160971100224,6.22834530204198e-68,1.30701550572851e-65
AT5G07330,537.06852024061,8.18355486628285,0.470167153409015,17.4056286300453,7.47805942867239e-68,1.55550195817639e-65
AT3G13760,1044.27696926968,-3.71614685662751,0.213872552866524,-17.3755201722716,1.2645440856786e-67,2.60748990466927e-65
AT4G00360,4821.18657446502,2.09502599334101,0.121579607807742,17.2317219237452,1.53512635891102e-66,3.1381423576601e-64
AT4G28110,970.085390972991,4.98590676984132,0.289789439825695,17.2052741909446,2.42426587848821e-66,4.91338604928128e-64
AT2G01900,1286.00893584532,-4.05168002182505,0.235717167696552,-17.1887353874918,3.22490005631713e-66,6.48068263012272e-64
AT3G10250,2736.35838890416,0.985063080566963,0.0573461717920533,17.177486304386,3.91512203271792e-66,7.80162090435631e-64
AT4G15390,20312.2970413797,-2.93041358693613,0.171043714359149,-17.1325418061431,8.48646375731171e-66,1.6769959589761e-63
AT1G73880,1941.01981970655,2.3910826532164,0.139781366935186,17.1058754513762,1.34170531204403e-65,2.62940975739671e-63
AT2G01490,7118.93940798678,1.59793734935344,0.0937208540102023,17.049965733128,3.4973826836486e-65,6.79782258830814e-63
AT4G34710,85065.2300439384,1.97971502690212,0.116267036740431,17.0273112861892,5.15174969234101e-65,9.93198702881971e-63
AT4G32770,594.69286312094,2.32232680444864,0.136603898497701,17.0004431058585,8.15015372506569e-65,1.55858544582647e-62
AT3G59940,882.608262998118,1.85660352225111,0.109514165252573,16.9530902049905,1.82598778866972e-64,3.46397187461801e-62
AT1G20440,43382.4806568462,3.01619282773838,0.178175502821906,16.9282128012468,2.787148319128e-64,5.24536889614939e-62
AT1G23800,3452.35259327442,2.54934396337488,0.151112900439322,16.8704588156492,7.4217655265781e-64,1.38576634591926e-61
AT3G07700,1963.26725404346,1.6206807528959,0.0963393122656137,16.8226315382819,1.6659167979992e-63,3.08624101804335e-61
AT5G15960,27993.5567687292,5.4865592676571,0.327194365350872,16.7685016878989,4.14837844673735e-63,7.62562000833199e-61
AT1G18710,161.779849736939,6.34115769666505,0.378990163301292,16.7317210595356,7.6981312699191e-63,1.40419836002763e-60
AT1G08570,3474.91049894347,1.44353129635566,0.0866244698596733,16.6642439335456,2.38485170177977e-62,4.31694567971784e-60
AT2G25625,512.848879976281,4.12369568780103,0.247762873073248,16.6437192007453,3.3608003863249e-62,6.03747420916078e-60
AT5G57800,2457.43205670377,2.83804681488772,0.170889103733218,16.6075352546662,6.14673398624484e-62,1.09592107530695e-59
AT5G15970,33488.5219293595,4.20212993621879,0.253470125022351,16.5784032175321,9.9846711877628e-62,1.76691423787626e-59
AT4G29930,3105.97182759513,2.29589810659292,0.138915837366596,16.5272595991636,2.33521789943083e-61,4.10185348512616e-59
AT5G57610,1831.9203359871,1.83819694712534,0.111309533315213,16.5142813232342,2.89590086645295e-61,5.04930126810285e-59
AT5G13170,1315.88936676036,5.8195297929096,0.35287361001102,16.4918249135374,4.20068032289617e-61,7.27085638663043e-59
AT1G52890,601.870411333683,8.42140398905484,0.512227813852479,16.4407393767184,9.77194298020252e-61,1.67914553543147e-58
AT4G37050,387.269768849637,3.06886103229404,0.186951050997863,16.4153184264747,1.4859918825685e-60,2.53505938930552e-58
AT2G39050,2322.66816300807,2.85188314894039,0.173892295098923,16.400284712546,1.90343899785456e-60,3.22401778258036e-58
AT1G69252,2453.80504350106,2.35514163102673,0.143685055191088,16.3909992441079,2.2176890060717e-60,3.72964960290627e-58
AT3G11210,1306.69556982205,1.29905726951445,0.0793119807414231,16.3790798990344,2.6979351955724e-60,4.5053617811696e-58
AT3G19580,1845.36960494572,2.52146367353938,0.153961736946304,16.3772098415516,2.78216153072179e-60,4.61352422223817e-58
AT5G17300,1025.76448721987,2.20886654164882,0.135144720839873,16.3444530272552,4.76427003990446e-60,7.84549551779545e-58
AT2G41170,2990.08115699103,4.08684185609263,0.250367527919884,16.3233702471208,6.73144505276963e-60,1.10084659680225e-57
AT5G14420,3389.26811889124,1.14877699656359,0.0705391328833277,16.2856693810466,1.24756603622378e-59,2.02626941212154e-57
AT3G29575,4152.47402242819,2.85372944061332,0.175363855933103,16.2731905353515,1.52974925859112e-59,2.46768327680076e-57
AT4G17550,1464.82466002242,2.00351542741062,0.123620761639897,16.2069493896728,4.50376266210492e-59,7.21606243287122e-57
AT5G02020,986.714613189115,2.90674060768254,0.179721755428874,16.1735600720465,7.74882810058025e-59,1.23320779026214e-56
AT4G03540,2472.98660331595,4.25917139439786,0.263955734034766,16.1359305565867,1.42641394521448e-58,2.25497025885807e-56
AT5G53120,6223.24650018102,1.56572262073816,0.0972174630995442,16.1053639008761,2.33917812059279e-58,3.67343912408059e-56
AT1G07040,2942.00079920864,1.43643529119058,0.0895373727203312,16.0428572734345,6.41344906500192e-58,1.00054024788415e-55
AT3G52780,698.611680807003,5.22153877351493,0.326056359954455,16.0142215114108,1.016712571079e-57,1.57577158156839e-55
AT2G26690,1905.00646761835,2.95257223070396,0.185106300759672,15.9506846530166,2.81790639359096e-57,4.33902690332613e-55
AT2G21820,137.362759382203,4.0567399286237,0.25514106894171,15.8999879770454,6.33769151338409e-57,9.69585024883077e-55
AT1G58520,589.096605598248,1.7414998593027,0.110040445003984,15.8259979704703,2.05908233748952e-56,3.12993714544161e-54
AT2G37760,5190.72432419706,1.26181658693077,0.0800850108190637,15.7559644935504,6.24985269003974e-56,9.43966604069505e-54
AT2G41540,6179.54054789951,2.14910990691404,0.136646063443906,15.7275654545018,9.790364368916e-56,1.46936019164623e-53
AT4G12580,814.792599189277,4.17804134026647,0.266133941474822,15.6990172584271,1.53603142824366e-55,2.29081215458754e-53
AT5G57040,1445.02480939763,2.68959794777576,0.172264919771327,15.6131495103359,5.92390282408708e-55,8.77959422922357e-53
AT1G74020,11249.4315537862,2.26475862381831,0.145323276565758,15.5842799401341,9.31065589709932e-55,1.36521286418588e-52
AT1G80110,947.78268905277,2.88031111100923,0.184822878038466,15.5841697823241,9.32671884612292e-55,1.36521286418588e-52
AT5G06760,9818.52791608472,8.74812488980412,0.563058734246314,15.5367892507946,1.95537551650038e-54,2.84465151059961e-52
AT5G42290,178.456593414754,4.17871788255684,0.268986299977326,15.5350584134176,2.00889117740242e-54,2.90468515181364e-52
AT3G05030,2142.57809964616,1.52932691799108,0.0986447204877194,15.5033833582759,3.29096063500634e-54,4.72960906290335e-52
AT4G23920,819.507487298729,2.00680537493398,0.12985966727349,15.4536463635592,7.12935904370876e-54,1.01842464459919e-51
AT4G30470,4329.11660843112,3.02819403040332,0.196193572810287,15.4347259547156,9.56056351887437e-54,1.35754277079681e-51
AT3G62730,534.082072717332,3.76207413319906,0.24465416627805,15.3771104348309,2.33121718492312e-53,3.29048530393345e-51
AT3G22620,15189.5132850521,3.50862441096145,0.228339799098053,15.365803179387,2.77577231148254e-53,3.89478632083938e-51
AT1G64380,515.78944613805,2.57225304237907,0.167495707067516,15.3571281760805,3.17322944441839e-53,4.42628175385254e-51
